time,sex,classif1,classif2,obs_value,age_extracted
1996,Sex: Male,"Age (Youth, adults): 25+",nan,4984.17,"(25, None)"
1996,Sex: Female,"Age (Youth, adults): 15+",nan,7179.45,"(15, None)"
1996,Sex: Female,"Age (Youth, adults): 15-24",nan,2118.38,"(15, 24)"
1996,Sex: Female,"Age (Youth, adults): 25+",nan,5061.07,"(25, None)"
1995,Sex: Male,"Age (Youth, adults): 15+",nan,6932.792,"(15, None)"
1995,Sex: Male,"Age (Youth, adults): 15-24",nan,2128.425,"(15, 24)"
1995,Sex: Male,"Age (Youth, adults): 25+",nan,4804.367,"(25, None)"
1995,Sex: Female,"Age (Youth, adults): 15+",nan,6934.383,"(15, None)"
1995,Sex: Female,"Age (Youth, adults): 15-24",nan,2060.032,"(15, 24)"
1995,Sex: Female,"Age (Youth, adults): 25+",nan,4874.351,"(25, None)"
1995,Sex: Male,Age (Aggregate bands): 15-24,nan,2128.425,"(15, 24)"
1995,Sex: Female,Age (Aggregate bands): 15-24,nan,2060.032,"(15, 24)"
1994,Sex: Male,"Age (Youth, adults): 15+",nan,6786.745,"(15, None)"
1994,Sex: Male,"Age (Youth, adults): 15-24",nan,2094.207,"(15, 24)"
1994,Sex: Male,"Age (Youth, adults): 25+",nan,4692.538,"(25, None)"
1994,Sex: Female,"Age (Youth, adults): 15+",nan,6784.667,"(15, None)"
1994,Sex: Female,"Age (Youth, adults): 15-24",nan,2027.077,"(15, 24)"
1994,Sex: Female,"Age (Youth, adults): 25+",nan,4757.59,"(25, None)"
1994,Sex: Male,Age (Aggregate bands): 15-24,nan,2094.207,"(15, 24)"
1994,Sex: Female,Age (Aggregate bands): 15-24,nan,2027.077,"(15, 24)"
1993,Sex: Male,"Age (Youth, adults): 15+",nan,6528.683,"(15, None)"
1993,Sex: Male,"Age (Youth, adults): 15-24",nan,2045.114,"(15, 24)"
1993,Sex: Male,"Age (Youth, adults): 25+",nan,4483.569,"(25, None)"
1993,Sex: Female,"Age (Youth, adults): 15+",nan,6511.023,"(15, None)"
1993,Sex: Female,"Age (Youth, adults): 15-24",nan,1984.615,"(15, 24)"
1993,Sex: Female,"Age (Youth, adults): 25+",nan,4526.408,"(25, None)"
1993,Sex: Male,Age (Aggregate bands): 15-24,nan,2045.114,"(15, 24)"
1993,Sex: Female,Age (Aggregate bands): 15-24,nan,1984.615,"(15, 24)"
1992,Sex: Male,"Age (Youth, adults): 15+",nan,6352.815,"(15, None)"
1992,Sex: Male,"Age (Youth, adults): 15-24",nan,2007.857,"(15, 24)"
1992,Sex: Male,"Age (Youth, adults): 25+",nan,4344.958,"(25, None)"
1992,Sex: Female,"Age (Youth, adults): 15+",nan,6330.908,"(15, None)"
1992,Sex: Female,"Age (Youth, adults): 15-24",nan,1948.289,"(15, 24)"
1992,Sex: Female,"Age (Youth, adults): 25+",nan,4382.619,"(25, None)"
1992,Sex: Male,Age (Aggregate bands): 15-24,nan,2007.857,"(15, 24)"
1992,Sex: Female,Age (Aggregate bands): 15-24,nan,1948.289,"(15, 24)"
