time,obs_value,Sex,Age (Youth bands),Education (Aggregate levels)
2007,58.759, Total, 15-19, Advanced
2007,0.811, Total, 15-19, Level not stated
2007,1590.702, Total, 20-24, Total
2007,24.97, Total, 20-24, Less than basic
2007,1134.861, Total, 20-24, Basic
2007,427.464, Total, 20-24, Advanced
2007,3.406, Total, 20-24, Level not stated
2007,1786.996, Total, 25-29, Total
2007,25.739, Total, 25-29, Less than basic
2007,1198.166, Total, 25-29, Basic
2007,557.463, Total, 25-29, Advanced
2007,5.628, Total, 25-29, Level not stated
2007,2597.358, Male, 15-29, Total
2007,54.469, Male, 15-29, Less than basic
2007,2086.73, Male, 15-29, Basic
2007,, Male, 15-29, Intermediate
2007,448.742, Male, 15-29, Advanced
2007,7.416, Male, 15-29, Level not stated
2007,505.81, Male, 15-19, Total
2007,12.194, Male, 15-19, Less than basic
2007,467.183, Male, 15-19, Basic
2007,, Male, 15-19, Intermediate
2007,25.902, Male, 15-19, Advanced
2007,0.529, Male, 15-19, Level not stated
2007,1007.688, Male, 20-24, Total
2007,21.257, Male, 20-24, Less than basic
2007,799.082, Male, 20-24, Basic
2007,184.653, Male, 20-24, Advanced
2007,2.696, Male, 20-24, Level not stated
2007,1083.86, Male, 25-29, Total
2007,21.017, Male, 25-29, Less than basic
2007,820.463, Male, 25-29, Basic
2007,238.188, Male, 25-29, Advanced
2007,4.191, Male, 25-29, Level not stated
2007,1505.591, Female, 15-29, Total
2007,10.448, Female, 15-29, Less than basic
2007,897.686, Female, 15-29, Basic
2007,, Female, 15-29, Intermediate
2007,594.944, Female, 15-29, Advanced
2007,2.43, Female, 15-29, Level not stated
2007,219.44, Female, 15-19, Total
2007,2.014, Female, 15-19, Less than basic
2007,184.204, Female, 15-19, Basic
2007,, Female, 15-19, Intermediate
2007,32.856, Female, 15-19, Advanced
2007,0.282, Female, 15-19, Level not stated
2007,583.014, Female, 20-24, Total
2007,3.712, Female, 20-24, Less than basic
2007,335.779, Female, 20-24, Basic
2007,242.812, Female, 20-24, Advanced
2007,0.711, Female, 20-24, Level not stated
2007,703.136, Female, 25-29, Total
2007,4.721, Female, 25-29, Less than basic
2007,377.702, Female, 25-29, Basic
2007,319.276, Female, 25-29, Advanced
2007,1.438, Female, 25-29, Level not stated
2006,4112.632, Total, 15-29, Total
2006,72.144, Total, 15-29, Less than basic
2006,3076.771, Total, 15-29, Basic
2006,954.418, Total, 15-29, Advanced
2006,9.3, Total, 15-29, Level not stated
2006,763.562, Total, 15-19, Total
2006,17.453, Total, 15-19, Less than basic
2006,690.843, Total, 15-19, Basic
2006,54.028, Total, 15-19, Advanced
2006,1.236, Total, 15-19, Level not stated
2006,1591.851, Total, 20-24, Total
2006,23.355, Total, 20-24, Less than basic
2006,1174.181, Total, 20-24, Basic
2006,391.442, Total, 20-24, Advanced
2006,2.872, Total, 20-24, Level not stated
2006,1757.219, Total, 25-29, Total
2006,31.336, Total, 25-29, Less than basic
2006,1211.746, Total, 25-29, Basic
2006,508.947, Total, 25-29, Advanced
2006,5.19, Total, 25-29, Level not stated
2006,2594.393, Male, 15-29, Total
2006,60.345, Male, 15-29, Less than basic
2006,2120.21, Male, 15-29, Basic
2006,407.312, Male, 15-29, Advanced
2006,6.527, Male, 15-29, Level not stated
2006,524.95, Male, 15-19, Total
2006,15.412, Male, 15-19, Less than basic
2006,487.056, Male, 15-19, Basic
2006,21.67, Male, 15-19, Advanced
2006,0.813, Male, 15-19, Level not stated
2006,1003.139, Male, 20-24, Total
2006,19.445, Male, 20-24, Less than basic
2006,813.406, Male, 20-24, Basic
2006,167.928, Male, 20-24, Advanced
2006,2.36, Male, 20-24, Level not stated
2006,1066.303, Male, 25-29, Total
2006,25.488, Male, 25-29, Less than basic
2006,819.748, Male, 25-29, Basic
2006,217.714, Male, 25-29, Advanced
2006,3.354, Male, 25-29, Level not stated
2006,1518.239, Female, 15-29, Total
2006,11.8, Female, 15-29, Less than basic
2006,956.562, Female, 15-29, Basic
2006,547.106, Female, 15-29, Advanced
2006,2.772, Female, 15-29, Level not stated
2006,238.612, Female, 15-19, Total
2006,2.042, Female, 15-19, Less than basic
2006,203.788, Female, 15-19, Basic
2006,32.358, Female, 15-19, Advanced
2006,0.424, Female, 15-19, Level not stated
2006,588.712, Female, 20-24, Total
2006,3.91, Female, 20-24, Less than basic
2006,360.776, Female, 20-24, Basic
2006,223.514, Female, 20-24, Advanced
2006,0.512, Female, 20-24, Level not stated
2006,690.916, Female, 25-29, Total
2006,5.848, Female, 25-29, Less than basic
2006,391.998, Female, 25-29, Basic
2006,291.233, Female, 25-29, Advanced
2006,1.836, Female, 25-29, Level not stated
2005,4094.331, Total, 15-29, Total
2005,83.525, Total, 15-29, Less than basic
2005,3160.596, Total, 15-29, Basic
2005,, Total, 15-29, Intermediate
2005,837.564, Total, 15-29, Advanced
2005,12.52, Total, 15-29, Level not stated
2005,782.508, Total, 15-19, Total
2005,18.498, Total, 15-19, Less than basic
2005,719.272, Total, 15-19, Basic
2005,42.58, Total, 15-19, Advanced
2005,2.159, Total, 15-19, Level not stated
2005,1587.582, Total, 20-24, Total
2005,27.782, Total, 20-24, Less than basic
2005,1215.176, Total, 20-24, Basic
2005,339.916, Total, 20-24, Advanced
2005,4.708, Total, 20-24, Level not stated
2005,1724.241, Total, 25-29, Total
2005,37.245, Total, 25-29, Less than basic
2005,1226.148, Total, 25-29, Basic
2005,, Total, 25-29, Intermediate
2005,455.069, Total, 25-29, Advanced
2005,5.654, Total, 25-29, Level not stated
2005,2568.239, Male, 15-29, Total
2005,69.205, Male, 15-29, Less than basic
2005,2129.303, Male, 15-29, Basic
2005,, Male, 15-29, Intermediate
2005,359.878, Male, 15-29, Advanced
2005,9.854, Male, 15-29, Level not stated
2005,526.035, Male, 15-19, Total
2005,16.468, Male, 15-19, Less than basic
2005,489.488, Male, 15-19, Basic
2005,18.593, Male, 15-19, Advanced
2005,1.486, Male, 15-19, Level not stated
2005,996.051, Male, 20-24, Total
2005,22.804, Male, 20-24, Less than basic
2005,822.566, Male, 20-24, Basic
2005,146.388, Male, 20-24, Advanced
2005,4.292, Male, 20-24, Level not stated
2005,1046.153, Male, 25-29, Total
2005,29.933, Male, 25-29, Less than basic
2005,817.248, Male, 25-29, Basic
2005,, Male, 25-29, Intermediate
2005,194.897, Male, 25-29, Advanced
2005,4.076, Male, 25-29, Level not stated
2005,1526.092, Female, 15-29, Total
2005,14.32, Female, 15-29, Less than basic
2005,1031.293, Female, 15-29, Basic
2005,, Female, 15-29, Intermediate
2005,477.687, Female, 15-29, Advanced
2005,2.667, Female, 15-29, Level not stated
2005,256.474, Female, 15-19, Total
2005,2.03, Female, 15-19, Less than basic
2005,229.784, Female, 15-19, Basic
2005,23.988, Female, 15-19, Advanced
2005,0.672, Female, 15-19, Level not stated
2005,591.532, Female, 20-24, Total
2005,4.979, Female, 20-24, Less than basic
2005,392.609, Female, 20-24, Basic
2005,193.528, Female, 20-24, Advanced
2005,0.416, Female, 20-24, Level not stated
2005,678.087, Female, 25-29, Total
2005,7.311, Female, 25-29, Less than basic
2005,408.9, Female, 25-29, Basic
2005,, Female, 25-29, Intermediate
2005,260.172, Female, 25-29, Advanced
2005,1.578, Female, 25-29, Level not stated
